Date,Category,Region,Product,Sales,Quantity,Discount,Profit,Customer_Satisfaction,Return_Rate
2020-01-01 00:00:00,A,East,Product_1,437.09,22,0.14,320.67,4,0.161
2020-01-01 01:00:00,A,West,Product_4,955.64,2,0.22,-26.09,3,0.151
2020-01-01 02:00:00,C,West,Product_4,758.79,4,0.05,179.57,2,0.011
2020-01-01 03:00:00,B,North,Product_2,638.79,45,0.44,261.96,5,0.099
2020-01-01 04:00:00,B,West,Product_1,240.42,13,0.26,415.49,2,0.018
2020-01-01 05:00:00,B,West,Product_4,240.4,32,0.36,41.76,4,0.064
2020-01-01 06:00:00,A,West,Product_3,152.28,22,0.12,144.85,5,0.084
2020-01-01 07:00:00,A,East,Product_1,879.56,25,0.25,-70.78,3,0.035
2020-01-01 08:00:00,D,East,Product_3,641.0,27,0.11,15.33,4,0.094
2020-01-01 09:00:00,A,East,Product_3,737.27,17,0.41,-133.54,2,0.141
2020-01-01 10:00:00,A,South,Product_3,118.53,6,0.39,-61.65,5,0.087
2020-01-01 11:00:00,A,West,Product_4,972.92,43,0.07,42.35,1,0.047
2020-01-01 12:00:00,B,North,Product_4,849.2,16,0.04,96.99,5,0.083
2020-01-01 13:00:00,B,North,Product_1,291.11,8,0.41,294.81,5,0.118
2020-01-01 14:00:00,A,South,Product_4,263.64,33,0.05,120.91,4,0.187
2020-01-01 15:00:00,B,East,Product_4,265.06,10,0.27,-165.67,3,0.1
2020-01-01 16:00:00,D,South,Product_4,373.82,34,0.27,329.02,5,0.178
2020-01-01 17:00:00,B,South,Product_4,572.28,19,0.1,172.96,5,0.197
2020-01-01 18:00:00,D,West,Product_1,488.75,14,0.3,457.59,3,0.112
2020-01-01 19:00:00,C,South,Product_1,362.11,3,0.25,244.67,3,0.029
2020-01-01 20:00:00,A,West,Product_3,650.67,41,0.25,173.75,5,0.175
2020-01-01 21:00:00,B,South,Product_1,225.54,23,0.18,6.1,1,0.172
2020-01-01 22:00:00,D,West,Product_3,362.93,40,0.42,-34.48,1,0.174
2020-01-01 23:00:00,C,South,Product_2,429.73,11,0.04,-38.98,1,0.19
2020-01-02 00:00:00,C,South,Product_3,510.46,47,0.22,84.99,4,0.055
2020-01-02 01:00:00,B,North,Product_1,806.66,6,0.13,-80.04,4,0.067
2020-01-02 02:00:00,B,South,Product_1,279.71,34,0.42,390.95,1,0.137
2020-01-02 03:00:00,C,South,Product_1,562.81,1,0.11,363.64,1,0.113
2020-01-02 04:00:00,A,South,Product_2,633.17,35,0.38,310.19,1,0.174
2020-01-02 05:00:00,A,West,Product_4,141.81,25,0.31,-165.87,3,0.051
2020-01-02 06:00:00,D,North,Product_3,646.79,29,0.44,-149.67,2,0.132
2020-01-02 07:00:00,A,North,Product_3,253.47,23,0.3,245.5,4,0.188
2020-01-02 08:00:00,C,North,Product_4,158.55,18,0.28,324.28,4,0.043
2020-01-02 09:00:00,C,West,Product_4,954.0,14,0.4,-181.3,4,0.061
2020-01-02 10:00:00,C,East,Product_3,969.07,17,0.28,3.35,2,0.081
2020-01-02 11:00:00,A,West,Product_4,827.56,2,0.42,-104.6,5,0.017
2020-01-02 12:00:00,D,West,Product_3,374.15,31,0.02,-38.1,4,0.035
2020-01-02 13:00:00,A,North,Product_4,187.9,19,0.25,162.86,5,0.076
2020-01-02 14:00:00,D,West,Product_4,715.81,32,0.41,-123.53,3,0.015
2020-01-02 15:00:00,A,North,Product_3,496.14,28,0.42,-39.12,1,0.073
2020-01-02 16:00:00,C,West,Product_4,209.83,41,0.42,195.44,1,0.049
2020-01-02 17:00:00,C,South,Product_2,545.66,8,0.3,155.68,3,0.173
2020-01-02 18:00:00,B,North,Product_2,130.95,42,0.5,400.31,1,0.122
2020-01-02 19:00:00,A,East,Product_4,918.39,41,0.09,-94.59,3,0.18
2020-01-02 20:00:00,A,South,Product_4,332.9,40,0.09,58.92,1,0.041
2020-01-02 21:00:00,B,East,Product_3,696.27,39,0.02,447.05,3,0.016
2020-01-02 22:00:00,C,North,Product_1,380.54,22,0.49,357.06,3,0.071
2020-01-02 23:00:00,A,East,Product_1,568.06,24,0.17,218.15,1,0.011
2020-01-03 00:00:00,B,East,Product_3,592.04,38,0.38,338.29,5,0.177
2020-01-03 01:00:00,A,West,Product_1,266.37,2,0.03,113.87,4,0.038
2020-01-03 02:00:00,D,South,Product_4,972.63,41,0.15,437.48,4,0.028
2020-01-03 03:00:00,C,North,Product_3,797.62,41,0.31,219.76,2,0.158
2020-01-03 04:00:00,D,East,Product_1,945.55,19,0.26,286.95,2,0.142
2020-01-03 05:00:00,C,South,Product_2,905.34,41,0.1,256.39,1,0.011
2020-01-03 06:00:00,B,North,Product_2,638.11,2,0.23,270.94,4,0.102
2020-01-03 07:00:00,C,West,Product_2,929.69,28,0.05,248.74,2,0.09
2020-01-03 08:00:00,C,North,Product_1,179.64,32,0.27,-148.36,4,0.077
2020-01-03 09:00:00,B,South,Product_3,276.38,19,0.05,222.69,3,0.025
2020-01-03 10:00:00,C,South,Product_4,140.7,16,0.32,348.38,5,0.157
2020-01-03 11:00:00,A,South,Product_2,392.8,30,0.08,-199.72,3,0.048
2020-01-03 12:00:00,B,North,Product_1,449.81,22,0.27,424.17,2,0.092
2020-01-03 13:00:00,B,South,Product_3,344.21,14,0.06,466.56,2,0.176
2020-01-03 14:00:00,B,West,Product_4,845.86,1,0.2,-110.27,1,0.064
2020-01-03 15:00:00,D,North,Product_1,421.08,45,0.18,174.54,5,0.007
2020-01-03 16:00:00,D,North,Product_4,352.84,2,0.38,-122.58,5,0.178
2020-01-03 17:00:00,C,East,Product_1,588.43,22,0.32,-1.89,4,0.099
2020-01-03 18:00:00,B,South,Product_4,226.83,46,0.47,235.04,1,0.099
2020-01-03 19:00:00,C,West,Product_3,821.98,33,0.46,12.0,5,0.11
2020-01-03 20:00:00,A,East,Product_2,167.1,15,0.36,55.89,2,0.036
2020-01-03 21:00:00,B,West,Product_4,988.2,41,0.39,322.29,3,0.143
2020-01-03 22:00:00,A,North,Product_2,795.02,22,0.31,202.49,3,0.046
2020-01-03 23:00:00,C,North,Product_1,278.84,40,0.35,162.63,5,0.06
2020-01-04 00:00:00,D,West,Product_3,104.97,39,0.31,26.92,3,0.126
2020-01-04 01:00:00,C,North,Product_2,833.92,41,0.16,292.91,2,0.15
2020-01-04 02:00:00,A,North,Product_3,736.17,41,0.18,96.78,4,0.146
2020-01-04 03:00:00,B,West,Product_2,756.11,11,0.29,429.17,2,0.017
2020-01-04 04:00:00,C,West,Product_1,794.14,4,0.36,221.12,5,0.151
2020-01-04 05:00:00,B,North,Product_4,166.64,7,0.2,176.82,2,0.133
2020-01-04 06:00:00,D,South,Product_1,422.62,21,0.07,362.19,2,0.121
2020-01-04 07:00:00,D,North,Product_4,204.28,7,0.23,139.81,3,0.193
2020-01-04 08:00:00,D,West,Product_2,876.79,4,0.48,-4.5,4,0.069
2020-01-04 09:00:00,B,South,Product_2,660.97,12,0.11,-91.43,1,0.137
2020-01-04 10:00:00,C,West,Product_1,397.81,27,0.32,193.27,5,0.115
2020-01-04 11:00:00,B,North,Product_4,157.2,17,0.49,97.4,5,0.078
2020-01-04 12:00:00,B,East,Product_1,379.88,20,0.19,78.16,2,0.158
2020-01-04 13:00:00,C,North,Product_3,392.66,31,0.44,44.59,3,0.081
2020-01-04 14:00:00,D,North,Product_1,756.65,26,0.43,270.13,3,0.112
2020-01-04 15:00:00,D,East,Product_4,673.8,31,0.17,163.3,5,0.112
2020-01-04 16:00:00,C,South,Product_1,898.49,35,0.05,176.07,1,0.102
2020-01-04 17:00:00,B,South,Product_1,524.99,9,0.09,15.69,1,0.091
2020-01-04 18:00:00,B,South,Product_4,207.63,5,0.18,229.56,4,0.034
2020-01-04 19:00:00,D,West,Product_4,741.92,48,0.48,82.46,2,0.048
2020-01-04 20:00:00,A,West,Product_1,784.71,8,0.14,338.64,5,0.025
2020-01-04 21:00:00,A,South,Product_4,605.15,21,0.46,170.67,1,0.145
2020-01-04 22:00:00,A,East,Product_1,793.87,16,0.09,2.62,1,0.149
2020-01-04 23:00:00,B,East,Product_2,544.42,16,0.48,-96.59,3,0.128
2020-01-05 00:00:00,B,West,Product_4,570.46,18,0.15,289.96,4,0.184
2020-01-05 01:00:00,D,South,Product_4,484.79,47,0.32,59.77,5,0.053
2020-01-05 02:00:00,A,North,Product_1,122.88,28,0.03,-154.14,4,0.164
2020-01-05 03:00:00,D,West,Product_3,197.1,18,0.15,440.44,1,0.037
2020-01-05 04:00:00,D,South,Product_1,128.29,14,0.11,70.65,4,0.014
2020-01-05 05:00:00,D,East,Product_3,672.77,48,0.0,322.16,1,0.0
2020-01-05 06:00:00,C,West,Product_1,382.92,37,0.08,121.24,3,0.116
2020-01-05 07:00:00,A,West,Product_1,557.71,40,0.3,423.65,2,0.156
2020-01-05 08:00:00,A,South,Product_4,916.81,16,0.19,-179.65,5,0.165
2020-01-05 09:00:00,C,North,Product_4,324.36,21,0.36,-18.42,2,0.094
2020-01-05 10:00:00,C,South,Product_4,469.34,1,0.34,182.04,4,0.012
2020-01-05 11:00:00,A,North,Product_4,780.0,11,0.4,26.26,1,0.007
2020-01-05 12:00:00,C,West,Product_2,305.92,11,0.43,319.88,2,0.183
2020-01-05 13:00:00,D,East,Product_1,169.28,2,0.41,281.89,3,0.019
2020-01-05 14:00:00,B,East,Product_3,360.78,32,0.22,-182.13,4,0.157
